policy,environment,expectedCost,meanPreSamples,terminalError,preTimeoutProbability,conservativeErrorBound
joint_decoder,0,13.509374071106118,13.134374071106082,4.149410458870857e-18,3.3306690738754696e-16,0.012500000000000351
joint_decoder,1,28.562326388577617,28.187326388577564,0.0015378164123655608,0.0,0.012500000000000018
joint_decoder,2,21.48699045965411,21.111990459654045,0.0016726434964406912,0.0,0.012500000000000018
certify_before_repair,0,306.4206954010248,306.042190023432,0.0019112213158585553,8.77166742419e-06,0.012508771667424208
certify_before_repair,1,28.648038415103212,28.27303841510313,1.2252098847085389e-05,6.661338147750939e-16,0.012500000000000684
certify_before_repair,2,309.90329285195025,309.52475966123603,0.003566688196041066,8.841265475290072e-06,0.012508841265475308
