policy,environment,cost,pre_samples,error,timeout,conservative_error_bound,mass_residual,threshold,numerics,selection
joint,1,13.509374071106118,13.134374071106082,4.149410458870857e-18,8.711964990482131e-152,0.012500000000000018,-3.3306690738754696e-16,6.173786103901937,double precision count lattice; stable binomial tails,factorized
joint,2,28.562326388577617,28.187326388577567,0.001537816412365456,2.4532035677174002e-73,0.012500000000000018,0.0,6.173786103901937,double precision count lattice; stable binomial tails,factorized
joint,3,21.48699045965411,21.111990459654045,0.0016726434964406912,1.8198716850039388e-73,0.012500000000000018,0.0,6.173786103901937,double precision count lattice; stable binomial tails,factorized
separated,1,306.4206954010246,306.0421900234321,0.0019112213158585555,8.771667423645588e-06,0.012508771667423663,-3.3306690738754696e-16,6.173786103901937,double precision count lattice; stable binomial tails,factorized
separated,2,28.64803841510322,28.273038415103148,1.2252098847085401e-05,3.440644506468307e-73,0.012500000000000018,-1.1102230246251565e-15,6.173786103901937,double precision count lattice; stable binomial tails,factorized
separated,3,309.90329285195025,309.52475966123626,0.003566688196041065,8.841265474697639e-06,0.012508841265474715,0.0,6.173786103901937,double precision count lattice; stable binomial tails,factorized
