horizon,cached_beliefs,seconds,value
1,5,0.0027657760001602583,0.84
2,13,0.0004005680002592271,0.98
3,25,0.0009126530003413791,1.12
4,41,0.0016778529998191516,1.26
6,85,0.0035149400000591413,1.54
8,145,0.006022116999702121,1.7384
10,221,0.009329107000667136,1.874144
12,313,0.014589700000215089,1.99772608
